Blood Moor,             1,      24,     36,     2.1,    67,     21.4
Den of Evil,            1,      29,     36,     2.6,    79,     43.5
Cold Plains,            2,      30,     36,     2.5,    68,     27.2
Cave Level 1,           2,      44,     36,     2.5,    77,     39.0
Cave Level 2,           2,      44,     37,     2.7,    78,     40.3
Burial Grounds,         3,      39,     36,     2.4,    80,     42.2
Crypt,                  3,      39,     37,     2.6,    83,     46.1
Mausoleum,              3,      39,     37,     2.6,    85,     48.6
Stony Field,            4,      54,     37,     3.7,    68,     38.2
Tristram,               6,      58,     39,     2.9,    76,     35.7
Underground Psg lvl 1,  4,      53,     37,     2.6,    69,     28.0
Underground Psg lvl 2,  4,      53,     38,     2.8,    83,     46.1
Dark Wood,              5,      54,     38,     2.4,    68,     23.0
Black Marsh,            6,      76,     38,     3.6,    69,     35.9
Hole Level 1,           5,      61,     38,     3.0,    80,     45.5
Hole Level 2,           5,      61,     39,     3.2,    81,     46.9
Tower Cellar Level 1,   7,      74,     38,     2.6,    75,     33.8
Tower Cellar Level 2,   7,      74,     39,     2.8,    76,     35.1
Tower Cellar Level 3,   7,      74,     40,     3.0,    77,     36.3
Tower Cellar Level 4,   7,      74,     41,     3.2,    78,     37.5
Tower Cellar Level 5,   7,      74,     42,     3.5,    79,     38.7
Tamoe Highland,         8,      77,     39,     2.9,    69,     26.8
Pit Level 1,            7,      72,     39,     2.7,    85,     44.2
Pit Level 2,            7,      72,     40,     2.9,    85,     44.2
Monastery Gate,         8,      76,     40,     3.6,    70,     32.7
Outer Cloister,         9,      82,     40,     3.2,    70,     29.0
Barracks,               9,      79,     40,     3.2,    70,     29.5
Jail Level 1,           10,     91,     41,     3.3,    71,     29.9
Jail Level 2,           10,     91,     41,     3.3,    71,     29.9
Jail Level 3,           10,     91,     41,     3.3,    71,     29.9
Inner Cloister,         10,     82,     41,     3.3,    72,     30.7
Cathedral,              11,     92,     42,     3.9,    72,     34.2
Catacombs Level 1,      11,     90,     42,     3.7,    72,     32.2
Catacombs Level 2,      11,     100,    42,     4.0,    73,     35.9
Catacombs Level 3,      12,     140,    43,     5.2,    73,     44.2
Catacombs Level 4,      12,     132,    43,     4.7,    73,     40.1
